term_level,term,subsetcount,totalcount,foldenrichment,pval,fdr,comp,label
NPC_class,Aminoacids,19,162,4.382850241545894,0.9997386010276256,0.9997386010276256,ctrl_vs_sl1.up,
NPC_class,Aminosugars,1,14,2.669254658385093,0.9609010486768466,0.9981573598303687,ctrl_vs_sl1.up,
NPC_class,Carboline alkaloids,14,33,15.853754940711463,0.05560380188218122,0.782844419745348,ctrl_vs_sl1.up,.
NPC_class,Furofuranoid lignans,1,3,12.456521739130434,0.5776614739533967,0.8183537547673121,ctrl_vs_sl1.up,
NPC_class,Glucosinolates,26,56,17.350155279503102,0.004582747041149362,0.3895334984976958,ctrl_vs_sl1.up,**
NPC_class,Lipopeptides,1,3,12.456521739130434,0.5776614739533967,0.8183537547673121,ctrl_vs_sl1.up,
NPC_class,Monosaccharides,4,44,3.397233201581028,0.9903056139239877,0.9997386010276256,ctrl_vs_sl1.up,
NPC_class,Oxygenated hydrocarbons,1,14,2.669254658385093,0.9609010486768466,0.9981573598303687,ctrl_vs_sl1.up,
NPC_class,Purine alkaloids,6,11,20.383399209486168,0.09247824832067705,0.782844419745348,ctrl_vs_sl1.up,.
NPC_class,Quinazoline alkaloids,2,2,37.369565217391305,0.17107450132578098,0.782844419745348,ctrl_vs_sl1.up,
NPC_class,Simple phenolic acids,6,16,14.01358695652174,0.24157785015113573,0.782844419745348,ctrl_vs_sl1.up,
NPC_class,Taxane diterpenoids,3,3,37.369565217391305,0.0910232580512212,0.782844419745348,ctrl_vs_sl1.up,.
NPC_class,Aminoacids,29,162,6.6896135265700485,0.0024962424361775703,0.10983466719181309,ctrl_vs_le1.up,**
NPC_class,Aminosugars,4,14,10.677018633540373,0.07246753835467071,0.3985714609506889,ctrl_vs_le1.up,.
NPC_class,Carboline alkaloids,1,33,1.1324110671936758,0.961390544818642,0.9837484644655872,ctrl_vs_le1.up,
NPC_class,Furofuranoid lignans,2,3,24.913043478260867,0.06779721180185208,0.3985714609506889,ctrl_vs_le1.up,.
NPC_class,Glucosinolates,7,56,4.671195652173913,0.3420605501649589,0.6157812008674871,ctrl_vs_le1.up,
NPC_class,Lipopeptides,2,3,24.913043478260867,0.06779721180185208,0.3985714609506889,ctrl_vs_le1.up,.
NPC_class,Monosaccharides,11,44,9.342391304347826,0.008412103425502674,0.18506627536105882,ctrl_vs_le1.up,**
NPC_class,Oxygenated hydrocarbons,5,14,13.346273291925465,0.02331499755347681,0.3419532974509932,ctrl_vs_le1.up,*
NPC_class,Polysaccharides,2,2,37.369565217391305,0.04321816628570273,0.38031986331418405,ctrl_vs_le1.up,*
NPC_class,Quinazoline alkaloids,2,2,37.369565217391305,0.04321816628570273,0.38031986331418405,ctrl_vs_le1.up,*
NPC_class,Simple phenolic acids,4,16,9.342391304347826,0.09975056991002437,0.48766945289345254,ctrl_vs_le1.up,.
